time_s,raw,ma_only,ma_spike,spike_flag,dA_raw,dA_ma_only,dA_ma_spike
10.3884,0.455800,0.457060,0.457060,0,0.852588,0.853368,0.853368
10.5129,0.452900,0.455820,0.455820,0,0.850793,0.852601,0.852601
10.6397,0.477800,0.451160,0.451160,0,0.866207,0.849716,0.849716
10.7657,0.530800,0.474620,0.474620,0,0.899023,0.864239,0.864239
10.8945,0.469800,0.477420,0.477420,0,0.861255,0.865972,0.865972
11.0189,0.538800,0.494020,0.494020,0,0.903978,0.876248,0.876248
11.1477,0.543500,0.512140,0.512140,0,0.906890,0.887467,0.887467
11.2731,0.557600,0.528100,0.528100,0,0.915627,0.897350,0.897350
11.3996,0.543500,0.530640,0.530640,0,0.906890,0.898924,0.898924
11.5257,0.535500,0.543780,0.543780,0,0.901934,0.907063,0.907063
11.6522,0.552900,0.546600,0.546600,0,0.912714,0.908810,0.908810
11.7806,0.590400,0.555980,0.555980,0,0.935965,0.914623,0.914623
11.9052,0.613900,0.567240,0.567240,0,0.950552,0.921602,0.921602
12.0302,0.596500,0.577840,0.577840,0,0.939750,0.928174,0.928174
12.1560,0.643400,0.599420,0.599420,0,0.968886,0.941562,0.941562
12.2845,0.609000,0.610640,0.610640,0,0.947509,0.948528,0.948528
12.4075,0.599800,0.612520,0.612520,0,0.941798,0.949695,0.949695
12.5336,0.651400,0.620020,0.620020,0,0.973863,0.954353,0.954353
12.6599,0.693700,0.639460,0.639460,0,1.000220,0.966436,0.966436
12.7873,0.695600,0.649900,0.649900,0,1.001406,0.972930,0.972930
12.9138,0.689000,0.665900,0.665900,0,0.997288,0.982890,0.982890
13.0417,0.717100,0.689360,0.689360,0,1.014834,0.997512,0.997512
13.1700,0.686200,0.696320,0.696320,0,0.995541,1.001855,1.001855
13.2966,0.698400,0.697260,0.697260,0,1.003153,1.002442,1.002442
13.4213,0.703100,0.698760,0.698760,0,1.006087,1.003378,1.003378
13.5470,0.756600,0.712280,0.712280,0,1.039566,1.011821,1.011821
13.6758,0.689000,0.706660,0.706660,0,0.997288,1.008311,1.008311
13.8057,0.766000,0.722620,0.722620,0,1.045464,1.018285,1.018285
13.9302,0.753100,0.733560,0.733560,0,1.037371,1.025130,1.025130
14.0568,0.814100,0.755760,0.755760,0,1.075733,1.039039,1.039039
14.1856,0.858300,0.776100,0.776100,0,1.103689,1.051808,1.051808
14.3146,0.828200,0.803940,0.803940,0,1.084635,1.069327,1.069327
14.4420,0.837600,0.818260,0.818260,0,1.090578,1.078358,1.078358
14.5694,0.865700,0.840780,0.840780,0,1.108384,1.092590,1.092590
14.6970,0.911400,0.860240,0.860240,0,1.137479,1.104919,1.104919
14.8259,0.912600,0.871100,0.871100,0,1.138245,1.111813,1.111813
14.9539,0.883300,0.882120,0.882120,0,1.119568,1.118817,1.118817
15.0820,0.920800,0.898760,0.898760,0,1.143486,1.129414,1.129414
15.2097,0.959600,0.917540,0.917540,0,1.168369,1.141402,1.141402
15.3378,1.001800,0.935620,0.935620,0,1.195602,1.152973,1.152973
15.4652,0.970500,0.947200,0.947200,0,1.175385,1.160401,1.160401
15.5939,0.993900,0.969320,0.969320,0,1.190490,1.174625,1.174625
15.7209,1.018800,0.988920,0.988920,0,1.206627,1.187271,1.187271
15.8493,1.075600,1.012120,1.012120,0,1.243701,1.202291,1.202291
15.9798,1.089700,1.029700,1.029700,0,1.252964,1.213712,1.213712
16.1065,1.036200,1.042840,1.042840,0,1.217944,1.222272,1.222272
16.2358,1.059600,1.055980,1.055980,0,1.233219,1.230852,1.230852
16.3618,1.075100,1.067240,1.067240,0,1.243373,1.238220,1.238220
16.4910,1.033400,1.058800,1.058800,0,1.216120,1.232696,1.232696
16.6461,1.061600,1.053180,1.053180,0,1.234527,1.229022,1.229022
16.7739,1.038100,1.053560,1.053560,0,1.219182,1.229270,1.229270
16.9023,1.025200,1.046680,1.046680,0,1.210785,1.224777,1.224777
17.0268,1.100300,1.051720,1.051720,0,1.259945,1.228068,1.228068
17.1563,1.149200,1.074880,1.074880,0,1.292337,1.243228,1.243228
17.2837,1.147200,1.092000,1.092000,0,1.291006,1.254478,1.254478
17.4098,1.189500,1.122280,1.122280,0,1.319281,1.274465,1.274465
17.5355,1.205500,1.158340,1.158340,0,1.330043,1.298428,1.298428
17.6614,1.186700,1.175620,1.175620,0,1.317401,1.309975,1.309975
17.7877,1.228900,1.191560,1.191560,0,1.345852,1.320664,1.320664
17.9142,1.242200,1.210560,1.210560,0,1.354875,1.333454,1.333454
18.0392,1.284500,1.229560,1.229560,0,1.383760,1.346299,1.346299
18.1678,1.303200,1.249100,1.249100,0,1.396624,1.359567,1.359567
18.2950,1.288000,1.269360,1.269360,0,1.386163,1.373388,1.373388
18.4197,1.289100,1.281400,1.281400,0,1.386919,1.381634,1.381634
18.5455,1.379800,1.308920,1.308920,0,1.449949,1.400570,1.400570
18.6719,1.283300,1.308680,1.308680,0,1.382937,1.400404,1.400404
18.7970,1.282100,1.304460,1.304460,0,1.382114,1.397492,1.397492
18.9236,1.324300,1.311720,1.311720,0,1.411209,1.402504,1.402504
19.0499,1.343100,1.322520,1.322520,0,1.424270,1.409976,1.409976
19.1758,1.286800,1.303920,1.303920,0,1.385339,1.397120,1.397120
19.3017,1.296100,1.306480,1.306480,0,1.391733,1.398886,1.398886
19.4293,1.308300,1.311720,1.311720,0,1.400142,1.402504,1.402504
19.5578,1.369300,1.320720,1.320720,0,1.442577,1.408729,1.408729
19.6862,1.355200,1.323140,1.323140,0,1.432710,1.410405,1.410405
19.8110,1.355200,1.336820,1.336820,0,1.432710,1.419900,1.419900
19.9376,1.313000,1.340200,1.340200,0,1.403388,1.422251,1.422251
20.0636,1.329000,1.344340,1.344340,0,1.414469,1.425134,1.425134
20.1903,1.367700,1.344020,1.344020,0,1.441456,1.424911,1.424911
20.3158,1.400600,1.353100,1.353100,0,1.464614,1.431243,1.431243
20.4419,1.424000,1.366860,1.366860,0,1.481209,1.440867,1.440867
20.5671,1.475700,1.399400,1.399400,0,1.518257,1.463765,1.463765
20.6939,1.439700,1.421540,1.421540,0,1.492403,1.479459,1.479459
20.8800,1.460400,1.440080,1.440080,0,1.507237,1.492675,1.492675
21.0055,1.447500,1.449460,1.449460,0,1.497983,1.499387,1.499387
21.1314,1.475700,1.459800,1.459800,0,1.518257,1.506806,1.506806
21.2581,1.505700,1.465800,1.465800,0,1.505700,1.511121,1.511121
21.3839,1.547200,1.487300,1.487300,0,1.547200,1.526643,1.526643
21.5125,1.512000,1.497620,1.497620,0,1.512000,1.534128,1.534128
21.6351,1.522600,1.512640,1.512640,0,1.522600,1.512640,1.512640
21.7620,1.598800,1.537260,1.537260,0,1.598800,1.537260,1.537260
21.8878,1.609000,1.557920,1.557920,0,1.609000,1.557920,1.557920
22.0138,1.612900,1.571060,1.571060,0,1.612900,1.571060,1.571060
22.1398,1.632400,1.595140,1.595140,0,1.632400,1.595140,1.595140
22.2655,1.632400,1.617100,1.617100,0,1.632400,1.617100,1.617100
22.3918,1.594900,1.616320,1.616320,0,1.594900,1.616320,1.616320
22.5177,1.675400,1.629600,1.629600,0,1.675400,1.629600,1.629600
22.6434,1.675400,1.642100,1.642100,0,1.675400,1.642100,1.642100
22.7699,1.681600,1.651940,1.651940,0,1.681600,1.651940,1.651940
22.8975,1.703600,1.666180,1.666180,0,1.703600,1.666180,1.666180
23.0233,1.727000,1.692600,1.692600,0,1.727000,1.692600,1.692600
23.1502,1.755200,1.708560,1.708560,0,1.755200,1.708560,1.708560
23.2760,1.745800,1.722640,1.722640,0,1.745800,1.722640,1.722640
23.4021,1.741100,1.734540,1.734540,0,1.741100,1.734540,1.734540
